**********************************************************
*                                                        *
*                      W A R N I N G                     *
*  THIS SOFTWARE CONTAINS TECHNICAL DATA WHOSE EXPORT IS *
*  RESTRICTED BY THE ARMS EXPORT CONTROL ACT (TITLE 22,  *
*  USC, SEC 2751 ) OR EXECUTIVE ORDER 12470. VIOLATORS   *
*  OF EXPORT LAWS ARE SUBJECT TO SEVERE CRIMINAL         *
*  PENALTIES.                                            *
*                 D I S T R I B U T I O N                *
*  DISTRIBUTION IS AUTHORIZED TO US GOVERNMENT AGENCIES  *
*  AND THEIR CONTRACTORS FOR OFFICIAL USE ON A NEED TO   *
*  KNOW BASIS ONLY. ALL REQUESTS FOR THIS SOFTWARE SHALL *
*  BE REFERRED TO AFSPC/A9AC.  NO SOFTWARE CODE, MANUAL, *
*  OR MEDIA CONTAINING ANY REPRESENTATION OF THE UNITED  *
*  STATES AIR FORCE (USAF), HQ AIR FORCE SPACE COMMAND   *
*  (AFSPC) SPACE ANALYSIS CENTER (ASAC) [AFSPC/A9AC]     *
*                         SGP4                           *
*  CAPABILITY MAY BE ASSIGNED, COPIED, OR TRANSFERRED TO *
*  ANY NON-AUTHORIZED PERSON, CONTRACTOR, OR GOVERNMENT  *
*  AGENCY WITHOUT THE EXPRESSED WRITTEN CONSENT OF       *
*               USAF, HQ AFSPC/A9AC.                     *
**********************************************************

b' HQ AFSPC Sgp4Prop DLL - Version: v8.4 - Build: Aug 22 2022 - Platform: Windows 64-bit'


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME


INPUT FILE = ..\input\sat000052191.txt
Start time =       720.0000 min from epoch
Stop time =       720.1000 min from epoch
Step size =         2.0000 min

     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493

    322634.5705008       53.6135040      136.1033530      490.2873450    -4048.7727059     -525.8867899     5506.0379130
    322634.5871675       53.6756288      136.0760210      490.3100382    -4043.0511896     -523.4823110     5510.4701317
    322634.6038341       53.7377483      136.0486210      490.3327275    -4037.3246832     -521.0771854     5514.8955339
    322634.6205008       53.7998623      136.0211524      490.3554127    -4031.5931976     -518.6714178     5519.3141114
    322634.6371675       53.8619710      135.9936151      490.3780937    -4025.8567379     -516.2650103     5523.7258602
    322634.6538341       53.9240741      135.9660087      490.4007704    -4020.1153113     -513.8579658     5528.1307749
    322634.6705008       53.9861718      135.9383327      490.4234428    -4014.3689232     -511.4502866     5532.5288514
    322634.6871675       54.0482640      135.9105869      490.4461106    -4008.6175842     -509.0419773     5536.9200817
    322634.7038341       54.1103507      135.8827709      490.4687738    -4002.8612997     -506.6330399     5541.3044616
    322634.7205008       54.1724318      135.8548842      490.4914324    -3997.1000768     -504.2234775     5545.6819859
    322634.7371675       54.2345074      135.8269266      490.5140862    -3991.3339208     -501.8132923     5550.0526505
    322634.7538341       54.2965773      135.7988977      490.5367351    -3985.5628426     -499.4024888     5554.4164474
    322634.7705008       54.3586416      135.7707971      490.5593790    -3979.7868475     -496.9910691     5558.7733726
    322634.7871675       54.4207003      135.7426244      490.5820179    -3974.0059425     -494.5790364     5563.1234206
    322634.8038341       54.4827533      135.7143792      490.6046516    -3968.2201332     -492.1663928     5567.4665876
    322634.8205008       54.5448006      135.6860612      490.6272800    -3962.4294303     -489.7531429     5571.8028656
    322634.8371675       54.6068422      135.6576700      490.6499031    -3956.6338391     -487.3392887     5576.1322505
    322634.8538341       54.6688781      135.6292052      490.6725207    -3950.8333669     -484.9248334     5580.4547371
