**********************************************************
*                                                        *
*                      W A R N I N G                     *
*  THIS SOFTWARE CONTAINS TECHNICAL DATA WHOSE EXPORT IS *
*  RESTRICTED BY THE ARMS EXPORT CONTROL ACT (TITLE 22,  *
*  USC, SEC 2751 ) OR EXECUTIVE ORDER 12470. VIOLATORS   *
*  OF EXPORT LAWS ARE SUBJECT TO SEVERE CRIMINAL         *
*  PENALTIES.                                            *
*                 D I S T R I B U T I O N                *
*  DISTRIBUTION IS AUTHORIZED TO US GOVERNMENT AGENCIES  *
*  AND THEIR CONTRACTORS FOR OFFICIAL USE ON A NEED TO   *
*  KNOW BASIS ONLY. ALL REQUESTS FOR THIS SOFTWARE SHALL *
*  BE REFERRED TO AFSPC/A9AC.  NO SOFTWARE CODE, MANUAL, *
*  OR MEDIA CONTAINING ANY REPRESENTATION OF THE UNITED  *
*  STATES AIR FORCE (USAF), HQ AIR FORCE SPACE COMMAND   *
*  (AFSPC) SPACE ANALYSIS CENTER (ASAC) [AFSPC/A9AC]     *
*                         SGP4                           *
*  CAPABILITY MAY BE ASSIGNED, COPIED, OR TRANSFERRED TO *
*  ANY NON-AUTHORIZED PERSON, CONTRACTOR, OR GOVERNMENT  *
*  AGENCY WITHOUT THE EXPRESSED WRITTEN CONSENT OF       *
*               USAF, HQ AFSPC/A9AC.                     *
**********************************************************

b' HQ AFSPC Sgp4Prop DLL - Version: v8.4 - Build: Aug 22 2022 - Platform: Windows 64-bit'


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME


INPUT FILE = ..\input\sat000052191.txt
Start time =       720.0000 min from epoch
Stop time =       720.1000 min from epoch
Step size =         2.0000 min

     TSINCE (MIN)     N (REVS/DAY)          ECC (-)        INC (DEG)       NODE (DEG)      OMEGA (DEG)         MA (DEG)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493

    322634.5705008       15.2840406        0.0011809       97.3911000      197.4828800      339.7757663       74.2563502
    322634.5871675       15.2840406        0.0011809       97.3911000      197.4828915      339.7757299       74.3199873
    322634.6038341       15.2840406        0.0011809       97.3911000      197.4829029      339.7756935       74.3836245
    322634.6205008       15.2840406        0.0011809       97.3911000      197.4829144      339.7756571       74.4472617
    322634.6371675       15.2840406        0.0011809       97.3911000      197.4829259      339.7756207       74.5108988
    322634.6538341       15.2840406        0.0011809       97.3911000      197.4829373      339.7755843       74.5745360
    322634.6705008       15.2840406        0.0011809       97.3911000      197.4829488      339.7755479       74.6381731
    322634.6871675       15.2840406        0.0011809       97.3911000      197.4829603      339.7755116       74.7018103
    322634.7038341       15.2840406        0.0011809       97.3911000      197.4829717      339.7754752       74.7654474
    322634.7205008       15.2840406        0.0011809       97.3911000      197.4829832      339.7754388       74.8290845
    322634.7371675       15.2840406        0.0011809       97.3911000      197.4829946      339.7754024       74.8927217
    322634.7538341       15.2840406        0.0011809       97.3911000      197.4830061      339.7753661       74.9563588
    322634.7705008       15.2840406        0.0011809       97.3911000      197.4830176      339.7753297       75.0199959
    322634.7871675       15.2840406        0.0011809       97.3911000      197.4830290      339.7752933       75.0836331
    322634.8038341       15.2840406        0.0011809       97.3911000      197.4830405      339.7752570       75.1472702
    322634.8205008       15.2840406        0.0011809       97.3911000      197.4830519      339.7752206       75.2109073
    322634.8371675       15.2840406        0.0011809       97.3911000      197.4830634      339.7751842       75.2745444
    322634.8538341       15.2840406        0.0011809       97.3911000      197.4830749      339.7751479       75.3381816
    322634.8705008       15.2840406        0.0011809       97.3911000      197.4830863      339.7751115       75.4018187
