**********************************************************
*                                                        *
*                      W A R N I N G                     *
*  THIS SOFTWARE CONTAINS TECHNICAL DATA WHOSE EXPORT IS *
*  RESTRICTED BY THE ARMS EXPORT CONTROL ACT (TITLE 22,  *
*  USC, SEC 2751 ) OR EXECUTIVE ORDER 12470. VIOLATORS   *
*  OF EXPORT LAWS ARE SUBJECT TO SEVERE CRIMINAL         *
*  PENALTIES.                                            *
*                 D I S T R I B U T I O N                *
*  DISTRIBUTION IS AUTHORIZED TO US GOVERNMENT AGENCIES  *
*  AND THEIR CONTRACTORS FOR OFFICIAL USE ON A NEED TO   *
*  KNOW BASIS ONLY. ALL REQUESTS FOR THIS SOFTWARE SHALL *
*  BE REFERRED TO AFSPC/A9AC.  NO SOFTWARE CODE, MANUAL, *
*  OR MEDIA CONTAINING ANY REPRESENTATION OF THE UNITED  *
*  STATES AIR FORCE (USAF), HQ AIR FORCE SPACE COMMAND   *
*  (AFSPC) SPACE ANALYSIS CENTER (ASAC) [AFSPC/A9AC]     *
*                         SGP4                           *
*  CAPABILITY MAY BE ASSIGNED, COPIED, OR TRANSFERRED TO *
*  ANY NON-AUTHORIZED PERSON, CONTRACTOR, OR GOVERNMENT  *
*  AGENCY WITHOUT THE EXPRESSED WRITTEN CONSENT OF       *
*               USAF, HQ AFSPC/A9AC.                     *
**********************************************************

b' HQ AFSPC Sgp4Prop DLL - Version: v8.4 - Build: Aug 22 2022 - Platform: Windows 64-bit'


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME


INPUT FILE = ..\input\sat000052191.txt
Start time =       720.0000 min from epoch
Stop time =       720.1000 min from epoch
Step size =         2.0000 min

     TSINCE (MIN)           A (KM)          ECC (-)        INC (DEG)       NODE (DEG)      OMEGA (DEG)   TRUE ANOM(DEG)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493

    322634.5705008     6855.7608903        0.0001812       97.3927013      197.4779630       32.9690097       21.1263858
    322634.5871675     6855.7408677        0.0001790       97.3927121      197.4779780       32.1947822       21.9643621
    322634.6038341     6855.7208601        0.0001769       97.3927230      197.4779931       31.3996789       22.8232143
    322634.6205008     6855.7008675        0.0001748       97.3927338      197.4780083       30.5833426       23.7032993
    322634.6371675     6855.6808900        0.0001727       97.3927446      197.4780234       29.7454394       24.6049511
    322634.6538341     6855.6609277        0.0001707       97.3927554      197.4780386       28.8856634       25.5284755
    322634.6705008     6855.6409808        0.0001688       97.3927662      197.4780537       28.0037405       26.4741468
    322634.6871675     6855.6210493        0.0001668       97.3927770      197.4780690       27.0994341       27.4422015
    322634.7038341     6855.6011333        0.0001650       97.3927878      197.4780842       26.1725483       28.4328356
    322634.7205008     6855.5812329        0.0001632       97.3927986      197.4780995       25.2229338       29.4461981
    322634.7371675     6855.5613483        0.0001614       97.3928094      197.4781147       24.2504928       30.4823871
    322634.7538341     6855.5414795        0.0001597       97.3928202      197.4781300       23.2551856       31.5414423
    322634.7705008     6855.5216266        0.0001580       97.3928309      197.4781454       22.2370336       32.6233420
    322634.7871675     6855.5017897        0.0001565       97.3928417      197.4781607       21.1961267       33.7279966
    322634.8038341     6855.4819690        0.0001549       97.3928524      197.4781761       20.1326277       34.8552432
    322634.8205008     6855.4621644        0.0001535       97.3928631      197.4781915       19.0467785       36.0048399
    322634.8371675     6855.4423762        0.0001521       97.3928738      197.4782070       17.9389037       37.1764621
    322634.8538341     6855.4226044        0.0001507       97.3928846      197.4782224       16.8094158       38.3696973
    322634.8705008     6855.4028491        0.0001495       97.3928953      197.4782379       15.6588191       39.5840411
