**********************************************************
*                                                        *
*                      W A R N I N G                     *
*  THIS SOFTWARE CONTAINS TECHNICAL DATA WHOSE EXPORT IS *
*  RESTRICTED BY THE ARMS EXPORT CONTROL ACT (TITLE 22,  *
*  USC, SEC 2751 ) OR EXECUTIVE ORDER 12470. VIOLATORS   *
*  OF EXPORT LAWS ARE SUBJECT TO SEVERE CRIMINAL         *
*  PENALTIES.                                            *
*                 D I S T R I B U T I O N                *
*  DISTRIBUTION IS AUTHORIZED TO US GOVERNMENT AGENCIES  *
*  AND THEIR CONTRACTORS FOR OFFICIAL USE ON A NEED TO   *
*  KNOW BASIS ONLY. ALL REQUESTS FOR THIS SOFTWARE SHALL *
*  BE REFERRED TO AFSPC/A9AC.  NO SOFTWARE CODE, MANUAL, *
*  OR MEDIA CONTAINING ANY REPRESENTATION OF THE UNITED  *
*  STATES AIR FORCE (USAF), HQ AIR FORCE SPACE COMMAND   *
*  (AFSPC) SPACE ANALYSIS CENTER (ASAC) [AFSPC/A9AC]     *
*                         SGP4                           *
*  CAPABILITY MAY BE ASSIGNED, COPIED, OR TRANSFERRED TO *
*  ANY NON-AUTHORIZED PERSON, CONTRACTOR, OR GOVERNMENT  *
*  AGENCY WITHOUT THE EXPRESSED WRITTEN CONSENT OF       *
*               USAF, HQ AFSPC/A9AC.                     *
**********************************************************

b' HQ AFSPC Sgp4Prop DLL - Version: v8.4 - Build: Aug 22 2022 - Platform: Windows 64-bit'


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME


INPUT FILE = ..\input\sat000052191.txt
Start time =       720.0000 min from epoch
Stop time =       720.1000 min from epoch
Step size =         2.0000 min

     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493

    322634.5705008    -4048.7727059     -525.8867899     5506.0379130        5.7189575        2.4041247        4.4355797
    322634.5871675    -4043.0511896     -523.4823110     5510.4701317        5.7239492        2.4047721        4.4287646
    322634.6038341    -4037.3246832     -521.0771854     5514.8955339        5.7289339        2.4054164        4.4219441
    322634.6205008    -4031.5931976     -518.6714178     5519.3141114        5.7339114        2.4060578        4.4151181
    322634.6371675    -4025.8567379     -516.2650103     5523.7258602        5.7388818        2.4066963        4.4082868
    322634.6538341    -4020.1153113     -513.8579658     5528.1307749        5.7438451        2.4073317        4.4014501
    322634.6705008    -4014.3689232     -511.4502866     5532.5288514        5.7488013        2.4079642        4.3946079
    322634.6871675    -4008.6175842     -509.0419773     5536.9200817        5.7537503        2.4085937        4.3877604
    322634.7038341    -4002.8612997     -506.6330399     5541.3044616        5.7586922        2.4092202        4.3809075
    322634.7205008    -3997.1000768     -504.2234775     5545.6819859        5.7636270        2.4098437        4.3740492
    322634.7371675    -3991.3339208     -501.8132923     5550.0526505        5.7685546        2.4104643        4.3671856
    322634.7538341    -3985.5628426     -499.4024888     5554.4164474        5.7734751        2.4110818        4.3603166
    322634.7705008    -3979.7868475     -496.9910691     5558.7733726        5.7783884        2.4116965        4.3534423
    322634.7871675    -3974.0059425     -494.5790364     5563.1234206        5.7832945        2.4123081        4.3465626
    322634.8038341    -3968.2201332     -492.1663928     5567.4665876        5.7881935        2.4129167        4.3396777
    322634.8205008    -3962.4294303     -489.7531429     5571.8028656        5.7930853        2.4135224        4.3327874
    322634.8371675    -3956.6338391     -487.3392887     5576.1322505        5.7979699        2.4141251        4.3258918
    322634.8538341    -3950.8333669     -484.9248334     5580.4547371        5.8028473        2.4147248        4.3189909
